id;city;city_ascii;country;admin_name
560;Sangereng;Sangereng;Indonesia;Jawa Barat
561;Yangquan;Yangquan;China;Shanxi
562;Samsun;Samsun;Turkey;Samsun
563;Yutan;Yutan;China;Hunan
564;Copenhagen;Copenhagen;Denmark;Hovedstaden
565;Helsinki;Helsinki;Finland;Uusimaa
566;Prague;Prague;Czechia;Praha
567;Milan;Milan;Italy;Lombardy
568;Auckland;Auckland;New Zealand;Auckland
569;Santiago;Santiago;Dominican Republic;Cibao Norte
570;Chizhou;Chizhou;China;Anhui
571;Makassar;Makassar;Indonesia;Sulawesi Selatan
572;Liangshi;Liangshi;China;Hunan
573;Porto Alegre;Porto Alegre;Brazil;Rio Grande do Sul
574;Huangshan;Huangshan;China;Anhui
575;Barranquilla;Barranquilla;Colombia;Atlántico
576;Al Ba?rah;Al Basrah;Iraq;Al Ba?rah
577;Benxi;Benxi;China;Liaoning
578;Saitama;Saitama;Japan;Saitama
579;Guarulhos;Guarulhos;Brazil;São Paulo
580;Juárez;Juarez;Mexico;Chihuahua
581;Mandalay;Mandalay;Burma;Mandalay
582;Xintai;Xintai;China;Shandong
583;Wusong;Wusong;China;Anhui
584;Calgary;Calgary;Canada;Alberta
